,rates
AED,3.827189
AFN,91.400245
ALL,118.768354
AMD,424.628757
ANG,1.877666
AOA,444.761306
ARS,131.251308
AUD,1.517917
AWG,1.872962
AZN,1.771037
BAM,1.949565
BBD,2.103541
BDT,97.362011
BGN,1.954053
BHD,0.392795
BIF,2144.319518
BMD,1.041982
BND,1.453678
BOB,7.172951
BRL,5.528961
BSD,1.041852
BTC,5.3347823e-05
BTN,82.249066
BWP,12.878018
BYN,3.518893
BYR,20422.841947
BZD,2.100052
CAD,1.340181
CDF,2086.568559
CHF,1.001554
CLF,0.035066
CLP,967.573726
CNY,6.981379
COP,4381.585282
CRC,715.849713
CUC,1.041982
CUP,27.612516
CVE,109.911813
CZK,24.74493
DJF,185.180592
DKK,7.439969
DOP,57.092541
DZD,152.747055
EGP,19.65678
ERN,15.629727
ETB,54.341581
EUR,1.0
FJD,2.297205
FKP,0.85557
GBP,0.861208
GEL,3.06325
GGP,0.85557
GHS,8.376284
GIP,0.85557
GMD,56.360551
GNF,9048.822826
GTQ,8.076746
GYD,217.969584
HKD,8.175524
HNL,25.609707
HRK,7.527798
HTG,119.757176
HUF,402.559482
IDR,15620.400243
ILS,3.648212
IMP,0.85557
INR,82.267573
IQD,1520.563873
IRR,44127.925941
ISK,139.500305
JEP,0.85557
JMD,156.851977
JOD,0.738791
JPY,141.398996
KES,122.880748
KGS,82.835903
KHR,4245.142142
KMF,484.130737
KPW,937.783396
KRW,1350.23135
KWD,0.319805
KYD,0.86811
KZT,486.795747
LAK,15647.245272
LBP,1575.437544
LKR,373.491551
LRD,158.903839
LSL,16.504886
LTL,3.076701
LVL,0.630284
LYD,5.039407
MAD,10.43457
MDL,19.940623
MGA,4253.781047
MKD,61.417643
MMK,1929.026243
MNT,3255.242207
MOP,8.420325
MRO,371.987299
MUR,47.749392
MVR,15.99386
MWK,1069.373712
MXN,21.148415
MYR,4.598296
MZN,66.509473
NAD,16.505087
NGN,432.703975
NIO,37.354965
NOK,10.267678
NPR,131.592881
NZD,1.67744
OMR,0.400625
PAB,1.041752
PEN,4.006924
PGK,3.671127
PHP,57.347028
PKR,213.181823
PLN,4.716207
PYG,7132.281374
QAR,3.793884
RON,4.944517
RSD,117.390132
RUB,58.350803
RWF,1066.313545
SAR,3.910424
SBD,8.502538
SCR,13.605827
SDG,475.661873
SEK,10.786751
SGD,1.454945
SHP,1.435225
SLL,13722.899751
SOS,609.041059
SRD,23.253382
STD,21566.918099
SVC,9.115708
SYP,2618.010747
SZL,16.925014
THB,37.203985
TJS,10.288041
TMT,3.657356
TND,3.192112
TOP,2.442403
TRY,17.510191
TTD,7.07357
TWD,30.976557
TZS,2430.943546
UAH,30.784478
UGX,3906.845877
USD,1.041982
UYU,41.136812
UZS,11289.96123
VEF,222807185424.29745
VND,24330.273442
VUV,121.089565
WST,2.755752
XAF,653.877815
XAG,0.052304
XAU,0.000577
XCD,2.816007
XDR,0.783409
XOF,653.855922
XPF,117.900605
YER,260.755809
ZAR,17.04224
ZMK,9379.089894
ZMW,17.268311
ZWL,335.517693
